stat_no;year;month;day;hour;elem_val
26409;1996;5;17;7;2,6
26409;1996;5;18;7;12,3
26409;1996;5;19;7;3,0
26409;1996;5;20;7;16,8
26409;1996;5;21;7;5,6
26409;1996;5;22;7;0,0
26409;1996;5;23;7;0,0
26409;1996;5;24;7;6,5
26409;1996;5;25;7;11,9
26409;1996;5;26;7;0,0
26409;1996;5;27;7;1,8
26409;1996;5;28;7;3,6
26409;1996;5;29;7;0,3
26409;1996;5;30;7;4,0
26409;1996;5;31;7;2,1
26409;1996;6;1;7;0,0
26409;1996;6;2;7;0,0
26409;1996;6;3;7;0,0
26409;1996;6;4;7;0,0
26409;1996;6;5;7;0,0
26409;1996;6;6;7;0,0
26409;1996;6;7;7;0,0
26409;1996;6;8;7;0,0
26409;1996;6;9;7;2,3
26409;1996;6;10;7;0,0
26409;1996;6;11;7;1,4
26409;1996;6;12;7;3,0
26409;1996;6;13;7;0,0
26409;1996;6;14;7;0,0
26409;1996;6;15;7;0,0
26409;1996;6;16;7;0,0
26409;1996;6;17;7;0,0
26409;1996;6;18;7;0,0
26409;1996;6;19;7;0,7
26409;1996;6;20;7;0,0
26409;1996;6;21;7;3,6
26409;1996;6;22;7;3,7
26409;1996;6;23;7;0,0
26409;1996;6;24;7;0,0
26409;1996;6;25;7;0,0
26409;1996;6;26;7;0,0
26409;1996;6;27;7;0,0
26409;1996;6;28;7;0,0
26409;1996;6;29;7;2,0
26409;1996;6;30;7;6,7
26409;1996;7;1;7;0,8
26409;1996;7;2;7;4,5
26409;1996;7;3;7;7,0
26409;1996;7;4;7;8,7
26409;1996;7;5;7;7,0
26409;1996;7;6;7;0,0
26409;1996;7;7;7;0,0
26409;1996;7;8;7;0,0
26409;1996;7;9;7;0,0
26409;1996;7;10;7;0,0
26409;1996;7;11;7;0,0
26409;1996;7;12;7;0,0
26409;1996;7;13;7;0,0
26409;1996;7;14;7;1,1
26409;1996;7;15;7;0,0
26409;1996;7;16;7;0,0
26409;1996;7;17;7;0,0
26409;1996;7;18;7;0,0
26409;1996;7;19;7;0,0
26409;1996;7;20;7;0,0
26409;1996;7;21;7;0,0
26409;1996;7;22;7;0,0
26409;1996;7;23;7;0,0
26409;1996;7;24;7;1,3
26409;1996;7;25;7;2,1
26409;1996;7;26;7;0,0
26409;1996;7;27;7;0,0
26409;1996;7;28;7;5,0
26409;1996;7;29;7;0,0
26409;1996;7;30;7;0,5
26409;1996;7;31;7;0,0
26409;1996;8;1;7;0,0
26409;1996;8;2;7;0,0
26409;1996;8;3;7;0,0
26409;1996;8;4;7;0,0
26409;1996;8;5;7;0,0
26409;1996;8;6;7;0,0
26409;1996;8;7;7;0,0
26409;1996;8;8;7;18,2
26409;1996;8;9;7;0,0
26409;1996;8;10;7;0,0
26409;1996;8;11;7;0,0
26409;1996;8;12;7;3,8
26409;1996;8;13;7;0,4
26409;1996;8;14;7;0,0
26409;1996;8;15;7;0,0
26409;1996;8;16;7;0,0
26409;1996;8;17;7;0,0
26409;1996;8;18;7;0,0
26409;1996;8;19;7;0,0
26409;1996;8;20;7;0,0
26409;1996;8;21;7;0,0
26409;1996;8;22;7;0,0
26409;1996;8;23;7;0,0
26409;1996;8;24;7;1,5
26409;1996;8;25;7;9,3
26409;1996;8;26;7;0,0
26409;1996;8;27;7;0,0
26409;1996;8;28;7;0,3
26409;1996;8;29;7;15,0
26409;1996;8;30;7;0,0
26409;1996;8;31;7;5,0
26409;1996;9;1;7;5,3
26409;1996;9;2;7;0,5
26409;1996;9;3;7;0,0
26409;1996;9;4;7;0,0
26409;1996;9;5;7;0,0
26409;1996;9;6;7;0,0
26409;1996;9;7;7;0,0
26409;1996;9;8;7;0,0
26409;1996;9;9;7;0,0
26409;1996;9;10;7;0,0
