2640908-SEP-1999 00:00:0031-OCT-2002 23:59:59    17    10     9     4     3    20     3    18    10Rm flyttet 2m mod SE 19990907.                                                B
2640901-NOV-2002 00:00:0028-JUN-2005 23:59:59    18    10     9     4    13    30     8    18    15                                                                              B
2640929-JUN-2005 00:00:0001-JAN-2007 23:59:59     8    10     9     5    30    40    14    22    21Træ mod S og SW tæt ved Rm er vokset op.                                      A
2641001-JAN-1970 00:00:0021-SEP-1970 23:59:59    16     6     5     1     8    13     2     7     7                                                                              B
2641022-SEP-1970 00:00:0030-JUN-1975 23:59:59    14     3    11     9     8    17    16    15    12                                                                              B
2641001-JUL-1975 00:00:0030-JUN-1979 23:59:59    40    20    20    30    18    23    35    22    25Rm flyttes 10 m mod WNW ca. 19790630. Vinklerne er målt 19810521.             A
2641001-JUL-1979 00:00:0030-JUN-1986 23:59:59    29    17    20    15    28    20    29    19    23Rm flyttet 10 m mod WNW ca. 19790603. Vinklerne er målt 19810521.             A
2641001-DEC-1986 00:00:0031-MAR-1987 23:59:59     8    15    18    24    25    20    24    17    21                                                                              A
2641001-APR-1987 00:00:0003-OCT-1989 23:59:59    25     6    10    30     3    10     7    17    12Rm flyttes 40 m mod S 19891003.                                               B
2641004-OCT-1989 00:00:0030-SEP-1991 23:59:59    33     5     4    23     5    28    10    22    16Rm flyttet 40 m mod S 19891003.                                               B
2641001-JUL-1992 00:00:0028-FEB-1993 23:59:59    14    26    17    19    22    25    21    20    21                                                                              A
2641001-MAY-1993 00:00:0030-JUN-1993 23:59:59    33    30    20    15    18    20     6    25    18Rm kun på denne adr. i maj og juni 1993.                                      B
2708020-JUN-1971 00:00:0031-OCT-1972 23:59:59    11    20    43    16    28    57    40    28    35Rm flyttes 1510 m mod N 19721101.                                             D
2708001-NOV-1972 00:00:0002-OCT-1985 23:59:59    23    19     4    23    37    32    32    30    28Rm flyttet 1510 m N 19721101. Rm flyttes 15 m mod E 19851002.                 A
2708003-OCT-1985 00:00:0004-SEP-1989 23:59:59    10    22     8    15     2    17    26    35    15Rm flyttet 15 m E 19851002.                                                   B
2708005-SEP-1989 00:00:0031-MAY-1992 23:59:59    10    20    25    15     7    20    20    35    18                                                                              B
2708001-JUN-1992 00:00:0025-SEP-1994 23:59:59    10    23    45    12    25    22    22    34    23                                                                              A
2708026-SEP-1994 00:00:0014-OCT-1996 23:59:59     8    23    45    33    20    22    18    37    25                                                                              A
2708015-OCT-1996 00:00:0016-OCT-1996 23:59:59     8    35    35    35    30    26    22    38    29Rm flyttes 20 m mod N 19961016.                                               A
2708017-OCT-1996 00:00:0018-JUL-2000 23:59:59     0    28    29    25    15    27    21     0    21Rm flyttet 20m N 19961016.                                                    A
2708019-JUL-2000 00:00:0026-JUL-2001 23:59:59    10    20    20    25    14    27    23    10    21                                                                              A
2708027-JUL-2001 00:00:0001-AUG-2001 23:59:59    15    27    20    22    12    26    24    13    20Rm ophørt på denne adr. 20010801. Fortsætter på 27082 TRANEBJERG ØST.         A
2708202-AUG-2001 00:00:0022-JUL-2003 23:59:59     8    21    23     7     1    23    25    19    16Efterfølger for 27080 TRANEBJERG.                                             B
2708223-JUL-2003 00:00:0030-MAY-2005 23:59:59    11    15    23     5     1    30    25    19    17                                                                              B
2708231-MAY-2005 00:00:0014-MAY-2007 23:59:59    11    20    20     8     1    30    25    22    17                                                                              B
2708215-MAY-2007 00:00:0015-NOV-2009 23:59:59    11    20    16     7     1    31    26    22    17                                                                              B
